scenario,budget,model,source_train_threshold,source_select_policy_rate,source_select_ipw_gain,source_select_ipw_se
null_ess1.0,0.1,S-Logit,0.011426873477152084,0.09997088046179152,0.008866188826786756,0.0003402268761514753
null_ess1.0,0.3,S-Logit,0.0025302724327139012,0.3000793453756099,0.009639735744364322,0.0004152621213751846
null_ess1.0,0.5,S-Logit,0.0011945270850943655,0.4999495595222679,0.009795455200024658,0.000429669772982493
null_ess1.0,0.1,T-Logit,0.011418161541728974,0.09987715418401974,0.00898711690856983,0.000323149510889666
null_ess1.0,0.3,T-Logit,0.0027770872952395057,0.2999584313226066,0.009819023550070548,0.00040078269131703316
null_ess1.0,0.5,T-Logit,0.0014163271005074906,0.4995281490061795,0.010033102729654037,0.0004152029387014022
null_ess1.0,0.1,S-HGB,0.011463263685457338,0.0997641102764782,0.009164160109509779,0.00033199382121263695
null_ess1.0,0.3,S-HGB,0.000825287113878798,0.30132425929410517,0.010159642323352796,0.0004305490423095915
null_ess1.0,0.5,S-HGB,0.00022215699148451454,0.500499038769052,0.010301613574819703,0.00044477960821730716
null_ess1.0,0.1,T-HGB,0.019296842621324608,0.09993582254109826,0.008466649178389784,0.00034933381263843903
null_ess1.0,0.3,T-HGB,0.0015367938019453077,0.3005851810884697,0.009219994653070877,0.00040725737769794855
null_ess1.0,0.5,T-HGB,0.0003837540081295049,0.5011107637117609,0.009348217700344342,0.0004133880628951282
null_ess1.0,0.1,TO-HGB,0.014491625946759004,0.10004958191640904,0.009220555804262443,0.0003347135539213881
null_ess1.0,0.3,TO-HGB,0.0015306972737209963,0.3355279114708801,0.010427592017326895,0.00038694702460346847
null_ess1.0,0.5,TO-HGB,0.0011181213405394783,0.9560387983861909,0.010717987758963737,0.00040200886928103553
null_ess1.0,0.1,DR-HGB,0.01410549195929796,0.09996229484856052,0.00890799459055863,0.0003328419956306752
null_ess1.0,0.3,DR-HGB,0.001855438026589945,0.323322746795241,0.009631037900895006,0.00043431404757904096
null_ess1.0,0.5,DR-HGB,0.000767516045285436,0.5752053213630806,0.009942757387811467,0.00044603881219961697
pc1_ess0.8,0.1,S-Logit,0.02704764183321648,0.10013353331144732,0.01427176971837762,0.0003805614248947002
pc1_ess0.8,0.3,S-Logit,0.004282959605025913,0.3006788241344116,0.016116500363932515,0.0005120915327496001
pc1_ess0.8,0.5,S-Logit,0.0016355848705402274,0.500453097765409,0.016417738118733483,0.0005335086257211166
pc1_ess0.8,0.1,T-Logit,0.027188494942746166,0.10019075165593465,0.014214551373890286,0.0003704552790251429
pc1_ess0.8,0.3,T-Logit,0.0049591858288953435,0.30041061314462725,0.016340886028588724,0.00048628786513621713
pc1_ess0.8,0.5,T-Logit,0.0021874992518259155,0.5001119333864034,0.016735804798383665,0.0005097602634448533
pc1_ess0.8,0.1,S-HGB,0.03122699694533871,0.09994042139880256,0.014477924047780519,0.000372582159003024
pc1_ess0.8,0.3,S-HGB,0.0021240652745079837,0.30059514230559886,0.017104358252581497,0.0005165432680277179
pc1_ess0.8,0.5,S-HGB,0.0004346847463175688,0.5031330619753346,0.01735090200162251,0.0005378903816995062
pc1_ess0.8,0.1,T-HGB,0.038967202355234674,0.10002410322761529,0.013455286381109826,0.0003825914756168191
pc1_ess0.8,0.3,T-HGB,0.0029197710734716817,0.300830452747303,0.016386885089843258,0.0005039641719214601
pc1_ess0.8,0.5,T-HGB,0.0005469654579891379,0.5012706048622718,0.016661477046966293,0.0005147658193117362
pc1_ess0.8,0.1,TO-HGB,0.03846383719819498,0.09999978543120817,0.01445857078420392,0.0003748155517635366
pc1_ess0.8,0.3,TO-HGB,0.003849267210129859,0.30269863169481454,0.01691839863299766,0.0004704543871926713
pc1_ess0.8,0.5,TO-HGB,0.0012021081129032919,0.5613398533636876,0.017599128643148446,0.0004916335083005976
pc1_ess0.8,0.1,DR-HGB,0.028007457305786815,0.10001409001733001,0.014248489705669541,0.0003580840607661696
pc1_ess0.8,0.3,DR-HGB,0.0028857118354120117,0.30062661239506694,0.01685725353937884,0.0005026722349051336
pc1_ess0.8,0.5,DR-HGB,0.0018631608907002928,0.5098440585543929,0.017147272010946995,0.0005268820137432454
pc1_ess0.5,0.1,S-Logit,0.034401209116050914,0.0999318232492725,0.015416908103221738,0.000384942542887479
pc1_ess0.5,0.3,S-Logit,0.005678844622323758,0.30016065129521535,0.018426807814708564,0.0005280315118179076
pc1_ess0.5,0.5,S-Logit,0.0021647227916604082,0.5008061150400485,0.019126315233690974,0.0005702020711898603
pc1_ess0.5,0.1,T-Logit,0.03419898454509173,0.10013763985524232,0.015292476495037368,0.000374042085659561
pc1_ess0.5,0.3,T-Logit,0.006792181655081975,0.3000441648133644,0.018585990592746227,0.0005001333732470777
pc1_ess0.5,0.5,T-Logit,0.002918830927219583,0.5001107693539074,0.019350236078148886,0.0005431177362181012
pc1_ess0.5,0.1,S-HGB,0.037435466328225336,0.09966669144088776,0.015550307755239218,0.0003746094004500995
pc1_ess0.5,0.3,S-HGB,0.00391157797093445,0.3004079170787763,0.01925439010968254,0.0005475269405610614
pc1_ess0.5,0.5,S-HGB,0.0007767467658220638,0.5004366456466929,0.01970139104448902,0.000597563253777757
pc1_ess0.5,0.1,T-HGB,0.04437001685036836,0.10002687050133495,0.015016989398539085,0.00037877933672132334
pc1_ess0.5,0.3,T-HGB,0.005416975223922606,0.3007202151926958,0.018878292771431583,0.0005349341523484704
pc1_ess0.5,0.5,T-HGB,0.0008327347831281803,0.500972626391406,0.01945533034181812,0.0005567432948652084
pc1_ess0.5,0.1,TO-HGB,0.04886115274577259,0.09968384282471858,0.015443812234721063,0.0003820466725824904
pc1_ess0.5,0.3,TO-HGB,0.005840791897113466,0.30000485955875206,0.019459253860995104,0.0005060676999274566
pc1_ess0.5,0.5,TO-HGB,0.0011105643051365942,0.599241480050082,0.01999425372591394,0.0005337841167970853
pc1_ess0.5,0.1,DR-HGB,0.03247434056320479,0.0998503541760761,0.01549145496758445,0.0003580323454649201
pc1_ess0.5,0.3,DR-HGB,0.005541722430220363,0.30073808121751955,0.019148174840534174,0.0005453710049264228
pc1_ess0.5,0.5,DR-HGB,0.0029906850208076523,0.5154605432414971,0.01969746752531203,0.0005818930780376475
