scenario,decile,n,treatment_rate,abs_dev_from_overall
null_ess1.0,1,209588,0.8634940981864929,0.01305091381072998
null_ess1.0,2,209588,0.8523293137550354,0.001886129379272461
null_ess1.0,3,209588,0.8492709398269653,0.0011722445487976074
null_ess1.0,4,209588,0.8477107286453247,0.0027324557304382324
null_ess1.0,5,209587,0.8475430011749268,0.0029001832008361816
null_ess1.0,6,209588,0.8485409617424011,0.0019022226333618164
null_ess1.0,7,209588,0.8481115102767944,0.002331674098968506
null_ess1.0,8,209588,0.849891185760498,0.0005519986152648926
null_ess1.0,9,209588,0.8497480750083923,0.0006951093673706055
null_ess1.0,10,209588,0.847791850566864,0.0026513338088989258
pc1_ess0.8,1,209766,0.8680863380432129,0.01649993658065796
pc1_ess0.8,2,209766,0.8571169972419739,0.005530595779418945
pc1_ess0.8,3,209766,0.8518015146255493,0.00021511316299438477
pc1_ess0.8,4,209765,0.8488355875015259,0.0027508139610290527
pc1_ess0.8,5,209766,0.8477398753166199,0.0038465261459350586
pc1_ess0.8,6,209766,0.8474681377410889,0.0041182637214660645
pc1_ess0.8,7,209765,0.8485972285270691,0.00298917293548584
pc1_ess0.8,8,209766,0.8486503958702087,0.0029360055923461914
pc1_ess0.8,9,209766,0.8498660326004028,0.0017203688621520996
pc1_ess0.8,10,209766,0.8477017283439636,0.0038846731185913086
pc1_ess0.5,1,209727,0.8687293529510498,0.01679694652557373
pc1_ess0.5,2,209726,0.8581101298332214,0.006177723407745361
pc1_ess0.5,3,209727,0.8532378077507019,0.00130540132522583
pc1_ess0.5,4,209726,0.850466787815094,0.00146561861038208
pc1_ess0.5,5,209726,0.8483497500419617,0.0035826563835144043
pc1_ess0.5,6,209727,0.8474588394165039,0.004473567008972168
pc1_ess0.5,7,209726,0.8478299975395203,0.0041024088859558105
pc1_ess0.5,8,209727,0.8484315276145935,0.0035008788108825684
pc1_ess0.5,9,209726,0.8487455248832703,0.0031868815422058105
pc1_ess0.5,10,209727,0.8479642868041992,0.0039681196212768555
