scenario,budget,model,source_select_policy_rate,abs_budget_deviation,propensity_adjusted_ipw_gain,propensity_adjusted_ipw_se
null_ess1.0,0.1,S-Logit,0.09997088046179152,2.9119538208485785e-05,0.006553426849601713,0.0003659188181149399
null_ess1.0,0.3,S-Logit,0.3000793453756099,7.934537560988497e-05,0.007191772214074442,0.0004377620219629284
null_ess1.0,0.5,S-Logit,0.4999495595222679,5.044047773211657e-05,0.007349424379546775,0.0004514466218036092
null_ess1.0,0.1,T-Logit,0.09987715418401974,0.0001228458159802659,0.006628722807994038,0.00035059479107363165
null_ess1.0,0.3,T-Logit,0.2999584313226066,4.156867739341097e-05,0.007324511554997871,0.00042446696011389965
null_ess1.0,0.5,T-Logit,0.4995281490061795,0.00047185099382052176,0.007545097880066427,0.00043806067250764077
null_ess1.0,0.1,S-HGB,0.0997641102764782,0.00023588972352180104,0.006808941502495609,0.00035873183797433927
null_ess1.0,0.3,S-HGB,0.30132425929410517,0.001324259294105179,0.007677100332407042,0.0004526410192243921
null_ess1.0,0.5,S-HGB,0.500499038769052,0.000499038769051996,0.007825476230174573,0.0004661469470251712
null_ess1.0,0.1,T-HGB,0.09993582254109826,6.417745890174853e-05,0.006270010178146854,0.00037313327126456153
null_ess1.0,0.3,T-HGB,0.3005851810884697,0.0005851810884697217,0.00685393500334108,0.0004294309225453727
null_ess1.0,0.5,T-HGB,0.5011107637117609,0.001110763711760887,0.006980987054831459,0.0004352676726761038
null_ess1.0,0.1,TO-HGB,0.10004958191640904,4.958191640903886e-05,0.0069841470562475635,0.0003598157911759366
null_ess1.0,0.3,TO-HGB,0.3355279114708801,0.035527911470880136,0.00811109678516312,0.0004096281917075451
null_ess1.0,0.5,TO-HGB,0.9560387983861909,0.4560387983861909,0.008444710666376561,0.0004235040556396119
null_ess1.0,0.1,DR-HGB,0.09996229484856052,3.770515143948494e-05,0.006686325641645133,0.0003579370311653676
null_ess1.0,0.3,DR-HGB,0.323322746795241,0.02332274679524099,0.00722304590145481,0.0004554766706511726
null_ess1.0,0.5,DR-HGB,0.5752053213630806,0.07520532136308056,0.007555255197693307,0.00046652024566194874
pc1_ess0.8,0.1,S-Logit,0.10013281808214122,0.00013281808214121726,0.010005861819708245,0.0004228169667802656
pc1_ess0.8,0.3,S-Logit,0.3006788241344116,0.0006788241344116153,0.011224506761218694,0.0005487122850350322
pc1_ess0.8,0.5,S-Logit,0.500452382536103,0.00045238253610302426,0.011489008298313006,0.0005690154322423017
pc1_ess0.8,0.1,T-Logit,0.10018932119732246,0.00018932119732245623,0.009999697222453205,0.0004132406440935881
pc1_ess0.8,0.3,T-Logit,0.30041061314462725,0.00041061314462725873,0.011536621208162871,0.0005240281194371024
pc1_ess0.8,0.5,T-Logit,0.5001119333864034,0.00011193338640336226,0.011901464091887456,0.0005461082829820545
pc1_ess0.8,0.1,S-HGB,0.09993899094019038,6.100905980963023e-05,0.010326526334239992,0.0004144876857698684
pc1_ess0.8,0.3,S-HGB,0.30059514230559886,0.0005951423055988725,0.012242409697835292,0.0005526942394421259
pc1_ess0.8,0.5,S-HGB,0.5031330619753346,0.0031330619753345834,0.012503004494024654,0.0005726088707283311
pc1_ess0.8,0.1,T-HGB,0.10002410322761529,2.4103227615285272e-05,0.0095413683139265,0.00042118373167219
pc1_ess0.8,0.3,T-HGB,0.300830452747303,0.0008304527473030343,0.01172569364672816,0.0005394051254712804
pc1_ess0.8,0.5,T-HGB,0.5012706048622718,0.001270604862271818,0.011987222905242517,0.0005496168022660684
