scenario,bin,n,predicted_treatment_rate,observed_treatment_rate,abs_calibration_gap
null_ess1.0,1,69885,0.8444746468073172,0.8480074405670166,0.003532793759699393
null_ess1.0,2,69885,0.845370686024068,0.8448880314826965,0.00048265454137141894
null_ess1.0,3,69885,0.8459313275899424,0.8462044596672058,0.00027313207726342714
null_ess1.0,4,69885,0.8464623161494106,0.846419095993042,4.322015636859522e-05
null_ess1.0,5,69885,0.8465822066000462,0.8453029990196228,0.001279207580423436
null_ess1.0,6,69885,0.8467021473789933,0.8488802909851074,0.0021781436061141246
null_ess1.0,7,69885,0.8470509288968378,0.8456607460975647,0.0013901827992730542
null_ess1.0,8,69884,0.8473007337904176,0.8486921191215515,0.0013913853311339208
null_ess1.0,9,69884,0.8476630177453387,0.8451862931251526,0.0024767246201861104
null_ess1.0,10,69884,0.848051464555094,0.8455726504325867,0.002478814122507278
null_ess1.0,11,69884,0.8485088163433562,0.8474472165107727,0.0010615998325834708
null_ess1.0,12,69884,0.8490092551707639,0.8481054306030273,0.000903824567736522
null_ess1.0,13,69884,0.8494729858230019,0.8473327159881592,0.002140269834842723
null_ess1.0,14,69884,0.8501361311605345,0.8468748331069946,0.0032612980535399183
null_ess1.0,15,69884,0.8510023483630831,0.8474758267402649,0.0035265216228181906
null_ess1.0,16,69884,0.8519879888764337,0.8468891382217407,0.005098850654692955
null_ess1.0,17,69884,0.853442856488353,0.84913569688797,0.004307159600383081
null_ess1.0,18,69884,0.8560564487375697,0.8528704643249512,0.0031859844126185255
null_ess1.0,19,69884,0.8610920456829556,0.858937680721283,0.00215436496167265
null_ess1.0,20,69884,0.8726112978758498,0.877768874168396,0.0051575762925462065
pc1_ess0.8,1,69908,0.8436279570175045,0.8481432795524597,0.004515322534955235
pc1_ess0.8,2,69908,0.8447683487424517,0.8461263179779053,0.0013579692354536155
pc1_ess0.8,3,69908,0.8450820544553428,0.8452394604682922,0.0001574060129494459
pc1_ess0.8,4,69908,0.8454111281605872,0.8466699123382568,0.0012587841776696695
pc1_ess0.8,5,69908,0.8457187742138303,0.8492447137832642,0.0035259395694338114
pc1_ess0.8,6,69908,0.8460898787920917,0.84416663646698,0.0019232423251117625
pc1_ess0.8,7,69908,0.8465028035458285,0.8450391888618469,0.0014636146839815956
pc1_ess0.8,8,69908,0.846958523002845,0.8455255627632141,0.0014329602396309093
pc1_ess0.8,9,69908,0.8474665489971421,0.8496452569961548,0.0021787079990126523
pc1_ess0.8,10,69908,0.8480631555467206,0.8455827832221985,0.00248037232452214
pc1_ess0.8,11,69908,0.8487083871655218,0.8481432795524597,0.0005651076130620547
pc1_ess0.8,12,69908,0.8494195760236447,0.8472564220428467,0.002163153980798027
pc1_ess0.8,13,69908,0.8503038112233401,0.8487011790275574,0.001602632195782716
pc1_ess0.8,14,69907,0.8513850596817373,0.8450369834899902,0.006348076191747043
pc1_ess0.8,15,69907,0.8526546868249208,0.8491281270980835,0.0035265597268373527
pc1_ess0.8,16,69907,0.854378490810243,0.8481267690658569,0.006251721744386041
pc1_ess0.8,17,69907,0.8571410767351793,0.8542206287384033,0.0029204479967759323
pc1_ess0.8,18,69907,0.8613815243342186,0.8572961091995239,0.0040854151346946255
pc1_ess0.8,19,69907,0.8673434004202939,0.8650063872337341,0.0023370131865597665
pc1_ess0.8,20,69907,0.87886348238089,0.8873789310455322,0.008515448664642267
pc1_ess0.5,1,69966,0.8429238633105547,0.8478546738624573,0.004930810551902587
pc1_ess0.5,2,69966,0.8440127939280263,0.8485550284385681,0.004542234510541809
pc1_ess0.5,3,69966,0.8443981019851721,0.8469971418380737,0.0025990398529016634
pc1_ess0.5,4,69966,0.8447829917956222,0.8461395502090454,0.0013565584134231923
pc1_ess0.5,5,69965,0.8452593255931294,0.8459658622741699,0.0007065366810404816
pc1_ess0.5,6,69965,0.8457651104787474,0.8440648913383484,0.001700219140398973
pc1_ess0.5,7,69965,0.8463119069558832,0.8467233777046204,0.0004114707487371527
pc1_ess0.5,8,69965,0.8469083864029906,0.846180260181427,0.0007281262215635964
pc1_ess0.5,9,69965,0.847568200457085,0.8476381301879883,6.992973090325094e-05
pc1_ess0.5,10,69965,0.8483016232118024,0.8483813405036926,7.971729189026888e-05
pc1_ess0.5,11,69965,0.8491240034771794,0.8464089035987854,0.0027150998783940228
pc1_ess0.5,12,69965,0.8501196381940438,0.8461945056915283,0.0039251325025154715
pc1_ess0.5,13,69965,0.8512027432671909,0.8478239178657532,0.003378825401437746
pc1_ess0.5,14,69965,0.8524586340872483,0.8487672209739685,0.0036914131132798067
pc1_ess0.5,15,69965,0.8539756794656629,0.8473665118217468,0.0066091676439160585
pc1_ess0.5,16,69965,0.8561160155291067,0.8532695174217224,0.0028464981073842432
pc1_ess0.5,17,69965,0.8590763966851381,0.8537697196006775,0.005306677084460643
pc1_ess0.5,18,69965,0.8630000891675201,0.8617880344390869,0.0012120547284332206
pc1_ess0.5,19,69965,0.8682201378137008,0.8663617372512817,0.001858400562419038
pc1_ess0.5,20,69965,0.8790169283682837,0.8877724409103394,0.008755512542055643
