scenario,covariate,weighted_smd
null_ess1.0,f0,-0.00016019417144317875
null_ess1.0,f1,-0.0012328692283774792
null_ess1.0,f2,0.004271153033087899
null_ess1.0,f3,-0.007847812810597458
null_ess1.0,f4,-0.00041515856247981164
null_ess1.0,f5,-0.004628725301981701
null_ess1.0,f6,-0.006090482800928067
null_ess1.0,f7,0.005797666375033517
null_ess1.0,f8,-0.004756831981863936
null_ess1.0,f9,0.00033617436211899295
null_ess1.0,f10,0.003473967408714187
null_ess1.0,f11,0.00042577134708886343
null_ess1.0,PC1,-0.00511737705395885
pc1_ess0.8,f0,0.0028078844796844697
pc1_ess0.8,f1,0.0016018193247930627
pc1_ess0.8,f2,0.004610797211933463
pc1_ess0.8,f3,-0.00756702716318007
pc1_ess0.8,f4,-0.00047017702804982197
pc1_ess0.8,f5,-0.005337511457405655
pc1_ess0.8,f6,-0.009310143928098176
pc1_ess0.8,f7,0.008249954814059142
pc1_ess0.8,f8,-0.003978930537516608
pc1_ess0.8,f9,0.00041300866715615283
pc1_ess0.8,f10,0.0019199159861046384
pc1_ess0.8,f11,0.000603071299182368
pc1_ess0.8,PC1,-0.005312053409269771
pc1_ess0.5,f0,0.002590438981759589
pc1_ess0.5,f1,-0.00019648601013601724
pc1_ess0.5,f2,0.004207981374304424
pc1_ess0.5,f3,-0.006407213083713682
pc1_ess0.5,f4,-0.0006868302938080775
pc1_ess0.5,f5,-0.0037129030855525967
pc1_ess0.5,f6,-0.007600082927782618
pc1_ess0.5,f7,0.0063492840554440905
pc1_ess0.5,f8,-0.0035851638345039518
pc1_ess0.5,f9,0.0009805118332169218
pc1_ess0.5,f10,0.002409699380828897
pc1_ess0.5,f11,0.00020789364565475528
pc1_ess0.5,PC1,-0.004563982529562369
