scenario,decile,weighted_treated_share,abs_dev_from_half
null_ess1.0,1,0.5067073385303725,0.006707338530372531
null_ess1.0,2,0.49221207585743454,0.007787924142565461
null_ess1.0,3,0.49160441870124394,0.00839558129875606
null_ess1.0,4,0.4966025564178846,0.0033974435821154114
null_ess1.0,5,0.49767218554603343,0.00232781445396657
null_ess1.0,6,0.4972853135002642,0.0027146864997357745
null_ess1.0,7,0.49838408923615907,0.0016159107638409331
null_ess1.0,8,0.4979440663678309,0.0020559336321691046
null_ess1.0,9,0.5018044966466986,0.0018044966466985723
null_ess1.0,10,0.49984673172310623,0.00015326827689376987
pc1_ess0.8,1,0.5070880970071668,0.007088097007166838
pc1_ess0.8,2,0.4978394542897227,0.002160545710277295
pc1_ess0.8,3,0.4898791375108948,0.010120862489105209
pc1_ess0.8,4,0.49233349483911115,0.007666505160888848
pc1_ess0.8,5,0.4961815136262312,0.0038184863737688035
pc1_ess0.8,6,0.5010749624704278,0.0010749624704278204
pc1_ess0.8,7,0.4963350880212627,0.0036649119787373063
pc1_ess0.8,8,0.5013424506222658,0.0013424506222657895
pc1_ess0.8,9,0.49965674439182817,0.000343255608171833
pc1_ess0.8,10,0.5041717114227243,0.004171711422724322
pc1_ess0.5,1,0.5073048943859287,0.00730489438592874
pc1_ess0.5,2,0.5000419691091053,4.196910910525542e-05
pc1_ess0.5,3,0.4944780218719061,0.005521978128093907
pc1_ess0.5,4,0.48944696787818104,0.010553032121818962
pc1_ess0.5,5,0.4930890853184453,0.006910914681554692
pc1_ess0.5,6,0.49835228973204804,0.0016477102679519628
pc1_ess0.5,7,0.500802960240129,0.000802960240129047
pc1_ess0.5,8,0.498887451746372,0.0011125482536279985
pc1_ess0.5,9,0.5021498894268829,0.0021498894268828783
pc1_ess0.5,10,0.5062497136699566,0.006249713669956636
