scenario,budget,model,score_cut_hex,tie_u_cut_hex,score_cut_decimal,tie_u_cut_decimal,threshold_tie_count_train,tie_selected_count_train,source_train_policy_rate,source_select_policy_rate,source_select_abs_budget_deviation,propensity_adjusted_ipw_gain,propensity_adjusted_ipw_se,invalid_r12_policy_rate,r1f_minus_invalid_r12_policy_rate
null_ess1.0,0.1,S-Logit,0x1.767055aa2fc80p-7,0x1.0000000000000p+0,0.011426965549956813,1.0,1,1,0.10000004771267806,0.09997088046179152,2.9119538208485785e-05,0.006553426849601713,0.0003659188181149399,0.0999708804617915,1.3877787807814457e-17
null_ess1.0,0.3,S-Logit,0x1.4ba5df6d63610p-9,0x1.0000000000000p+0,0.0025302729833984808,1.0,1,1,0.3000001431380342,0.3000793453756099,7.934537560988497e-05,0.007191772214074442,0.0004377620219629284,0.3000793453756099,0.0
null_ess1.0,0.5,S-Logit,0x1.39235b0f04bccp-10,0x1.0000000000000p+0,0.0011945270850943655,1.0,1,1,0.5000002385633904,0.4999495595222679,5.044047773211657e-05,0.007349424379546775,0.0004514466218036092,0.4999495595222679,0.0
null_ess1.0,0.1,T-Logit,0x1.7626cdde235bfp-7,0x1.0000000000000p+0,0.011418200036383717,1.0,1,1,0.10000004771267806,0.09987715418401974,0.0001228458159802659,0.006628722807994038,0.00035059479107363165,0.0998771541840197,4.163336342344337e-17
null_ess1.0,0.3,T-Logit,0x1.6bffa97d0f070p-9,0x1.0000000000000p+0,0.002777089538112114,1.0,1,1,0.3000001431380342,0.2999584313226066,4.156867739341097e-05,0.007324511554997871,0.00042446696011389965,0.2999584313226066,0.0
null_ess1.0,0.5,T-Logit,0x1.73481a4ef8114p-10,0x1.0000000000000p+0,0.0014163271005074906,1.0,1,1,0.5000002385633904,0.4995281490061795,0.00047185099382052176,0.007545097880066427,0.00043806067250764077,0.4995281490061795,0.0
null_ess1.0,0.1,S-HGB,0x1.77a13c7aa3a8cp-7,0x1.0000000000000p+0,0.01146331265524949,1.0,1,1,0.10000004771267806,0.0997641102764782,0.00023588972352180104,0.006808941502495609,0.00035873183797433927,0.0997641102764782,0.0
null_ess1.0,0.3,S-HGB,0x1.b0b0294fb51d0p-11,0x1.5fe3c52b19c20p-1,0.000825287113878798,0.6872846236336763,2208,1506,0.3000001431380342,0.3009915667814039,0.0009915667814038853,0.007680464706150354,0.00045258782266716265,0.3013242592941051,-0.0003326925127012381
null_ess1.0,0.5,S-HGB,0x1.d1e5a06a86d20p-13,0x1.a8bdeb922d3e2p-2,0.00022215699148451454,0.41478698806468917,350,157,0.5000002385633904,0.5003831329904335,0.0003831329904334657,0.007825476230174573,0.0004661469470251712,0.500499038769052,-0.00011590577861853024
null_ess1.0,0.1,T-HGB,0x1.3c299a008d1ecp-6,0x1.0000000000000p+0,0.019297027962425092,1.0,1,1,0.10000004771267806,0.09993582254109826,6.417745890174853e-05,0.006270010178146854,0.00037313327126456153,0.0999358225410982,5.551115123125783e-17
null_ess1.0,0.3,T-HGB,0x1.92dc7c7aee8b4p-10,0x1.2fb369640b850p-3,0.0015367938019453077,0.14829141937792878,129,19,0.3000001431380342,0.30052365086031424,0.0005236508603142509,0.00685393500334108,0.0004294309225453727,0.3005851810884697,-6.153022815547082e-05
null_ess1.0,0.5,T-HGB,0x1.92652ea24df90p-12,0x1.eba7910b13f48p-4,0.0003837540081295049,0.1200328508141385,1270,147,0.5000002385633904,0.5005519833839766,0.0005519833839765509,0.006980987054831459,0.0004352676726761038,0.5011107637117609,-0.0005587803277843362
null_ess1.0,0.1,TO-HGB,0x1.dadc91c0ebc3bp-7,0x1.e629620292858p-4,0.014491625946759004,0.11869180951285452,47,8,0.10000004771267806,0.10003598802879328,3.598802879327401e-05,0.0069841470562475635,0.0003598157911759366,0.100049581916409,-1.3593887615723221e-05
null_ess1.0,0.3,TO-HGB,0x1.91435aec3eba7p-10,0x1.a91ff7bab6a70p-2,0.0015306972737209963,0.4151610095702045,127870,53169,0.3000001431380342,0.2998868845456815,0.0001131154543184687,0.008023952286156273,0.00039961874142544114,0.3355279114708801,-0.035641026925198604
null_ess1.0,0.5,TO-HGB,0x1.251bda5cc0260p-10,0x1.1e8c508bb1fd4p-3,0.0011181213405394783,0.13991606642070897,1111514,155079,0.5000002385633904,0.49984796309903434,0.00015203690096565747,0.008164721458374633,0.00041702749425185693,0.9560387983861908,-0.4561908352871564
