scenario,model,budget,score_cut_hex,tie_u_cut_hex,target_adapt_n,target_adapt_k,target_adapt_rate,threshold_tie_count,tie_selected_count,target_infer_rate,target_infer_abs_budget_deviation
null_ess1.0,S-Logit,0.1,0x1.763b32b301f70p-7,0x1.0000000000000p+0,1748606,174861,0.1000002287536472,1,1,0.09976478899673313,0.00023521100326687194
null_ess1.0,S-Logit,0.3,0x1.4b916c565394cp-9,0x1.0000000000000p+0,1748606,524582,0.3000001143768236,1,1,0.3000380320094481,3.803200944813012e-05
null_ess1.0,S-Logit,0.5,0x1.39374850cd940p-10,0x1.0000000000000p+0,1748606,874303,0.5,1,1,0.4999050153425017,9.498465749829821e-05
null_ess1.0,T-Logit,0.1,0x1.74d4170d7cd0ep-7,0x1.0000000000000p+0,1748606,174861,0.1000002287536472,1,1,0.09973293671198974,0.00026706328801026635
null_ess1.0,T-Logit,0.3,0x1.6bfda040ea818p-9,0x1.0000000000000p+0,1748606,524582,0.3000001143768236,1,1,0.29977634737071784,0.00022365262928214502
null_ess1.0,T-Logit,0.5,0x1.7345d25eba008p-10,0x1.0000000000000p+0,1748606,874303,0.5,1,1,0.49954224261446606,0.0004577573855339412
null_ess1.0,S-HGB,0.1,0x1.73753bc90d500p-7,0x1.0000000000000p+0,1748606,174861,0.1000002287536472,1,1,0.09983936530412638,0.00016063469587362933
null_ess1.0,S-HGB,0.3,0x1.b0b0294fb51d0p-11,0x1.c4a3e708fa500p-4,1748606,524582,0.3000001143768236,1871,221,0.29930581092483777,0.0006941890751622215
null_ess1.0,S-HGB,0.5,0x1.d1e5a06a86d20p-13,0x1.ec7ec84068520p-6,1748606,874303,0.5,265,9,0.499445732099016,0.0005542679009840068
null_ess1.0,T-HGB,0.1,0x1.3ba9685337411p-6,0x1.0000000000000p+0,1748606,174861,0.1000002287536472,1,1,0.0998509999710087,0.0001490000289913057
null_ess1.0,T-HGB,0.3,0x1.955f9deb2aca2p-10,0x1.2b0d536c3990ap-1,1748606,524582,0.3000001143768236,547,323,0.29957398045986305,0.0004260195401369349
null_ess1.0,T-HGB,0.5,0x1.92d8674c275bcp-12,0x1.a6fa30334fe4cp-2,1748606,874303,0.5,1368,553,0.4995245045157766,0.00047549548422337606
null_ess1.0,TO-HGB,0.1,0x1.da2a61f57f6d5p-7,0x1.5fe2889b50014p-1,1748606,174861,0.1000002287536472,260,185,0.09991947284659482,8.052715340518823e-05
null_ess1.0,TO-HGB,0.3,0x1.91435aec3eba7p-10,0x1.b499001dc08a2p-2,1748606,524582,0.3000001143768236,106387,45313,0.29983471143737345,0.00016528856262654212
null_ess1.0,TO-HGB,0.5,0x1.251bda5cc0260p-10,0x1.1f601f023d3f8p-3,1748606,874303,0.5,927368,130143,0.49984646054360216,0.00015353945639784428
null_ess1.0,DR-HGB,0.1,0x1.cd5d7977c290dp-7,0x1.76bdce93001b4p-2,1748606,174861,0.1000002287536472,102,33,0.09982086427646104,0.0001791357235389618
null_ess1.0,DR-HGB,0.3,0x1.e664569369e19p-10,0x1.75c5062360fb0p-5,1748606,524582,0.3000001143768236,42632,1980,0.29941796148429356,0.000582038515706429
null_ess1.0,DR-HGB,0.5,0x1.926642825e2eep-11,0x1.a1ac26532bd86p-2,1748606,874303,0.5,219809,89367,0.5000360483941108,3.604839411075478e-05
