scenario,budget,source_winner,epsilon,status,upper_regret_bound,lower_regret_bound
null_ess1.0,0.1,TO-HGB,0.0005,PORTABLE_AT_TOLERANCE,0.00045141065886915283,0.0
null_ess1.0,0.1,TO-HGB,0.001,PORTABLE_AT_TOLERANCE,0.00045141065886915283,0.0
null_ess1.0,0.1,TO-HGB,0.002,PORTABLE_AT_TOLERANCE,0.00045141065886915283,0.0
null_ess1.0,0.1,TO-HGB,0.005,PORTABLE_AT_TOLERANCE,0.00045141065886915283,0.0
null_ess1.0,0.3,TO-HGB,0.0005,UNCERTAIN,0.0005838047359264647,0.0
null_ess1.0,0.3,TO-HGB,0.001,PORTABLE_AT_TOLERANCE,0.0005838047359264647,0.0
null_ess1.0,0.3,TO-HGB,0.002,PORTABLE_AT_TOLERANCE,0.0005838047359264647,0.0
null_ess1.0,0.3,TO-HGB,0.005,PORTABLE_AT_TOLERANCE,0.0005838047359264647,0.0
null_ess1.0,0.5,TO-HGB,0.0005,UNCERTAIN,0.0005256321321771115,0.0
null_ess1.0,0.5,TO-HGB,0.001,PORTABLE_AT_TOLERANCE,0.0005256321321771115,0.0
null_ess1.0,0.5,TO-HGB,0.002,PORTABLE_AT_TOLERANCE,0.0005256321321771115,0.0
null_ess1.0,0.5,TO-HGB,0.005,PORTABLE_AT_TOLERANCE,0.0005256321321771115,0.0
pc1_ess0.8,0.1,TO-HGB,0.0005,PORTABLE_AT_TOLERANCE,0.0002385758845491841,0.0
pc1_ess0.8,0.1,TO-HGB,0.001,PORTABLE_AT_TOLERANCE,0.0002385758845491841,0.0
pc1_ess0.8,0.1,TO-HGB,0.002,PORTABLE_AT_TOLERANCE,0.0002385758845491841,0.0
pc1_ess0.8,0.1,TO-HGB,0.005,PORTABLE_AT_TOLERANCE,0.0002385758845491841,0.0
pc1_ess0.8,0.3,TO-HGB,0.0005,PORTABLE_AT_TOLERANCE,0.0002829926659680133,0.0
pc1_ess0.8,0.3,TO-HGB,0.001,PORTABLE_AT_TOLERANCE,0.0002829926659680133,0.0
pc1_ess0.8,0.3,TO-HGB,0.002,PORTABLE_AT_TOLERANCE,0.0002829926659680133,0.0
pc1_ess0.8,0.3,TO-HGB,0.005,PORTABLE_AT_TOLERANCE,0.0002829926659680133,0.0
pc1_ess0.8,0.5,TO-HGB,0.0005,PORTABLE_AT_TOLERANCE,0.0003509702823520218,0.0
pc1_ess0.8,0.5,TO-HGB,0.001,PORTABLE_AT_TOLERANCE,0.0003509702823520218,0.0
pc1_ess0.8,0.5,TO-HGB,0.002,PORTABLE_AT_TOLERANCE,0.0003509702823520218,0.0
pc1_ess0.8,0.5,TO-HGB,0.005,PORTABLE_AT_TOLERANCE,0.0003509702823520218,0.0
pc1_ess0.5,0.1,DR-HGB,0.0005,PORTABLE_AT_TOLERANCE,0.0002701982163155472,0.0
pc1_ess0.5,0.1,DR-HGB,0.001,PORTABLE_AT_TOLERANCE,0.0002701982163155472,0.0
pc1_ess0.5,0.1,DR-HGB,0.002,PORTABLE_AT_TOLERANCE,0.0002701982163155472,0.0
pc1_ess0.5,0.1,DR-HGB,0.005,PORTABLE_AT_TOLERANCE,0.0002701982163155472,0.0
pc1_ess0.5,0.3,TO-HGB,0.0005,PORTABLE_AT_TOLERANCE,0.0002783100059582442,0.0
pc1_ess0.5,0.3,TO-HGB,0.001,PORTABLE_AT_TOLERANCE,0.0002783100059582442,0.0
pc1_ess0.5,0.3,TO-HGB,0.002,PORTABLE_AT_TOLERANCE,0.0002783100059582442,0.0
pc1_ess0.5,0.3,TO-HGB,0.005,PORTABLE_AT_TOLERANCE,0.0002783100059582442,0.0
pc1_ess0.5,0.5,TO-HGB,0.0005,PORTABLE_AT_TOLERANCE,0.00015048060422001523,0.0
pc1_ess0.5,0.5,TO-HGB,0.001,PORTABLE_AT_TOLERANCE,0.00015048060422001523,0.0
pc1_ess0.5,0.5,TO-HGB,0.002,PORTABLE_AT_TOLERANCE,0.00015048060422001523,0.0
pc1_ess0.5,0.5,TO-HGB,0.005,PORTABLE_AT_TOLERANCE,0.00015048060422001523,0.0
