scenario,budget,source_selected_model,epsilon,decision,upper_regret_bound,lower_regret_bound
null_ess1.0,0.1,TO-HGB,0.0005,PORTABLE_AT_TOLERANCE,0.000451,0.0
null_ess1.0,0.1,TO-HGB,0.001,PORTABLE_AT_TOLERANCE,0.000451,0.0
null_ess1.0,0.1,TO-HGB,0.002,PORTABLE_AT_TOLERANCE,0.000451,0.0
null_ess1.0,0.1,TO-HGB,0.005,PORTABLE_AT_TOLERANCE,0.000451,0.0
null_ess1.0,0.3,TO-HGB,0.0005,UNCERTAIN,0.000584,0.0
null_ess1.0,0.3,TO-HGB,0.001,PORTABLE_AT_TOLERANCE,0.000584,0.0
null_ess1.0,0.3,TO-HGB,0.002,PORTABLE_AT_TOLERANCE,0.000584,0.0
null_ess1.0,0.3,TO-HGB,0.005,PORTABLE_AT_TOLERANCE,0.000584,0.0
null_ess1.0,0.5,TO-HGB,0.0005,UNCERTAIN,0.000526,0.0
null_ess1.0,0.5,TO-HGB,0.001,PORTABLE_AT_TOLERANCE,0.000526,0.0
null_ess1.0,0.5,TO-HGB,0.002,PORTABLE_AT_TOLERANCE,0.000526,0.0
null_ess1.0,0.5,TO-HGB,0.005,PORTABLE_AT_TOLERANCE,0.000526,0.0
pc1_ess0.8,0.1,TO-HGB,0.0005,PORTABLE_AT_TOLERANCE,0.000239,0.0
pc1_ess0.8,0.1,TO-HGB,0.001,PORTABLE_AT_TOLERANCE,0.000239,0.0
pc1_ess0.8,0.1,TO-HGB,0.002,PORTABLE_AT_TOLERANCE,0.000239,0.0
pc1_ess0.8,0.1,TO-HGB,0.005,PORTABLE_AT_TOLERANCE,0.000239,0.0
pc1_ess0.8,0.3,TO-HGB,0.0005,PORTABLE_AT_TOLERANCE,0.000283,0.0
pc1_ess0.8,0.3,TO-HGB,0.001,PORTABLE_AT_TOLERANCE,0.000283,0.0
pc1_ess0.8,0.3,TO-HGB,0.002,PORTABLE_AT_TOLERANCE,0.000283,0.0
pc1_ess0.8,0.3,TO-HGB,0.005,PORTABLE_AT_TOLERANCE,0.000283,0.0
pc1_ess0.8,0.5,TO-HGB,0.0005,PORTABLE_AT_TOLERANCE,0.000351,0.0
pc1_ess0.8,0.5,TO-HGB,0.001,PORTABLE_AT_TOLERANCE,0.000351,0.0
pc1_ess0.8,0.5,TO-HGB,0.002,PORTABLE_AT_TOLERANCE,0.000351,0.0
pc1_ess0.8,0.5,TO-HGB,0.005,PORTABLE_AT_TOLERANCE,0.000351,0.0
pc1_ess0.5,0.1,DR-HGB,0.0005,PORTABLE_AT_TOLERANCE,0.00027,0.0
pc1_ess0.5,0.1,DR-HGB,0.001,PORTABLE_AT_TOLERANCE,0.00027,0.0
pc1_ess0.5,0.1,DR-HGB,0.002,PORTABLE_AT_TOLERANCE,0.00027,0.0
pc1_ess0.5,0.1,DR-HGB,0.005,PORTABLE_AT_TOLERANCE,0.00027,0.0
pc1_ess0.5,0.3,TO-HGB,0.0005,PORTABLE_AT_TOLERANCE,0.000278,0.0
pc1_ess0.5,0.3,TO-HGB,0.001,PORTABLE_AT_TOLERANCE,0.000278,0.0
pc1_ess0.5,0.3,TO-HGB,0.002,PORTABLE_AT_TOLERANCE,0.000278,0.0
pc1_ess0.5,0.3,TO-HGB,0.005,PORTABLE_AT_TOLERANCE,0.000278,0.0
pc1_ess0.5,0.5,TO-HGB,0.0005,PORTABLE_AT_TOLERANCE,0.00015,0.0
pc1_ess0.5,0.5,TO-HGB,0.001,PORTABLE_AT_TOLERANCE,0.00015,0.0
pc1_ess0.5,0.5,TO-HGB,0.002,PORTABLE_AT_TOLERANCE,0.00015,0.0
pc1_ess0.5,0.5,TO-HGB,0.005,PORTABLE_AT_TOLERANCE,0.00015,0.0
