scenario,covariate,weighted_smd
null_ess1.0,f0,0.0006799533625240552
null_ess1.0,f1,-0.0021806728039207228
null_ess1.0,f2,0.0004923862975691793
null_ess1.0,f3,0.0003304159211970701
null_ess1.0,f4,-0.0033089871238938
null_ess1.0,f5,0.0004973141002881009
null_ess1.0,f6,0.00046476449689083615
null_ess1.0,f7,0.001583466033580201
null_ess1.0,f8,8.99345819154769e-05
null_ess1.0,f9,0.00031954706915558
null_ess1.0,f10,-0.00023874927634601062
null_ess1.0,f11,-0.0005366890249239314
null_ess1.0,PC1,0.0009019004464710512
pc1_ess0.8,f0,-0.0012885616834596412
pc1_ess0.8,f1,-0.0037341422035030796
pc1_ess0.8,f2,0.0006810041990047446
pc1_ess0.8,f3,0.001718695132292469
pc1_ess0.8,f4,0.0013697655064744026
pc1_ess0.8,f5,0.0026759243553544157
pc1_ess0.8,f6,0.0028501198207805524
pc1_ess0.8,f7,-0.002108318424064596
pc1_ess0.8,f8,0.00025679101728285345
pc1_ess0.8,f9,-0.00011938304871417564
pc1_ess0.8,f10,0.0014371459417849165
pc1_ess0.8,f11,-0.004200442009284885
pc1_ess0.8,PC1,0.0012556468227761016
pc1_ess0.5,f0,-0.0005009567862512477
pc1_ess0.5,f1,0.0003742897414559889
pc1_ess0.5,f2,0.0008386201807208779
pc1_ess0.5,f3,0.0015564687053215608
pc1_ess0.5,f4,-0.0002771147411117211
pc1_ess0.5,f5,-0.00462121950366033
pc1_ess0.5,f6,0.000809390524791423
pc1_ess0.5,f7,0.004322116195467483
pc1_ess0.5,f8,0.0010062941255261212
pc1_ess0.5,f9,-0.0035653657640790175
pc1_ess0.5,f10,-9.683354777960372e-06
pc1_ess0.5,f11,0.0010096058320761662
pc1_ess0.5,PC1,0.0006423580313443542
