scenario,n_source,n_target,ess_target,separation,shift_relevance,nuisance,reps,simultaneous_pairwise_coverage,simultaneous_pairwise_coverage_mcse,optimal_set_all_budgets_coverage,optimal_set_all_budgets_coverage_mcse,portability_bound_all_budgets_coverage,portability_bound_all_budgets_coverage_mcse,source_specific_contrast_upper_coverage,source_specific_contrast_upper_coverage_mcse,source_specific_bound_all_budgets_coverage,source_specific_bound_all_budgets_coverage_mcse,source_specific_certificate_rate,source_specific_certificate_rate_mcse,source_specific_false_certificate_rate_unconditional,source_specific_false_certificate_rate_unconditional_mcse,num_source_specific_certified,num_source_specific_certified_mcse,num_source_specific_false_certified,num_source_specific_false_certified_mcse,mean_source_specific_portability_bound,mean_source_specific_portability_bound_mcse,source_specific_critical_value,source_specific_critical_value_mcse,mean_confidence_set_size,mean_confidence_set_size_mcse,singleton_rate,singleton_rate_mcse,source_certificate_rate,source_certificate_rate_mcse,source_false_certificate_rate_unconditional,source_false_certificate_rate_unconditional_mcse,num_source_certified,num_source_certified_mcse,num_source_false_certified,num_source_false_certified_mcse,forced_unsafe_rate,forced_unsafe_rate_mcse,num_forced_unsafe,num_forced_unsafe_mcse,mean_forced_regret,mean_forced_regret_mcse,mean_source_true_regret,mean_source_true_regret_mcse,mean_portability_bound,mean_portability_bound_mcse,true_ess_ratio,true_ess_ratio_mcse,estimated_ess_ratio,estimated_ess_ratio_mcse,critical_value,critical_value_mcse,source_false_certificate_rate_conditional,source_specific_false_certificate_rate_conditional
core_n5000_ess0.8_near,5000,5000,0.8,near,relevant,both_correct,1000,0.953,0.006695956678163013,0.996,0.001996994739098726,1.0,0.0,0.954,0.006627814717380679,1.0,0.0,0.003,0.000995987947714224,0.0,0.0,0.009,0.002987963843142672,0.0,0.0,0.026050786718540993,0.0001528967196230915,2.5925860753353196,0.0013475902513833057,5.9863333333333335,0.002695353705595042,0.0,0.0,0.0003333333333333333,0.0003333333333333333,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0005403397486638836,9.349589851963539e-06,0.0006227485172104216,1.0153436259952696e-05,0.03039108767056233,0.00016193584519866224,0.8000000000000002,3.512590202971636e-18,0.7876889828352683,0.0009674967266951895,3.109680054442555,0.0010466959283517974,0.0,0.0
core_n5000_ess0.8_clear,5000,5000,0.8,clear,relevant,both_correct,1000,0.952,0.006763264133666652,1.0,0.0,1.0,0.0,0.95,0.006895472974897919,0.999,0.0010000000000000002,0.7559999999999999,0.006311669391202076,0.0,0.0,2.268,0.018935008173606223,0.0,0.0,0.016143504303239603,0.0007126180924982064,2.611472675438429,0.0012087444287494115,1.3896666666666666,0.007666434546978639,0.6323333333333333,0.00695082589677759,0.6643333333333332,0.006777121351891429,0.0,0.0,1.993,0.02033136405567429,0.0,0.0,0.004,0.0011483257313666066,0.012,0.0034449771940998205,0.00020398840900180416,5.869187577103442e-05,0.0074825014954285,0.0004674625591604894,0.02008548144116935,0.0007445936964519294,0.8000000000000002,3.512590202971636e-18,0.7895257904964189,0.0009366370953153012,3.124096616407632,0.0010558519012096035,0.0,0.0
core_n5000_ess0.5_near,5000,5000,0.5,near,relevant,both_correct,1000,0.97,0.0053971408290991564,0.997,0.001730316154346943,1.0,0.0,0.965,0.005814534272734904,1.0,0.0,0.0006666666666666666,0.00047116852351927437,0.0,0.0,0.002,0.0014135055705578234,0.0,0.0,0.034376735474539385,0.00028218470504865785,2.5849819789894837,0.0014801460912189975,5.992333333333334,0.001715857333408238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008324290706231073,1.6295084634511926e-05,0.0009952821972634609,1.7203918076778304e-05,0.04012959172700839,0.00030913818775929236,0.5000000000000001,0.0,0.4963556238942192,0.0012659764763361,3.093688601351451,0.0010616064719782858,,0.0
core_n5000_ess0.5_clear,5000,5000,0.5,clear,relevant,both_correct,1000,0.944,0.007274401481697098,1.0,0.0,1.0,0.0,0.947,0.007088105617246489,1.0,0.0,0.4026666666666666,0.008598458527236156,0.0,0.0,1.208,0.025795375581708465,0.0,0.0,0.04094904958371855,0.0010907216633139825,2.601074979361503,0.0012360342796887316,1.7743333333333335,0.008375243295320524,0.24566666666666664,0.007705448039214889,0.27733333333333327,0.007988535885535181,0.0,0.0,0.832,0.023965607656605544,0.0,0.0,0.06633333333333333,0.004441928717430158,0.199,0.013325786152290475,0.0019903593683563495,0.0001531209425274795,0.011640193184527166,0.0007233219174995396,0.052036804251055176,0.0011682022416305401,0.5000000000000001,0.0,0.4963596568338908,0.0012544119152219375,3.1078185605209154,0.0010627862226777322,0.0,0.0
core_n5000_ess0.3_near,5000,5000,0.3,near,relevant,both_correct,1000,0.959,0.006273624021118764,0.999,0.0010000000000000002,1.0,0.0,0.98,0.004429403980178328,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0439258791043039,0.00044996539039120816,2.5784755103780843,0.001546343123358745,5.988333333333333,0.002103299387333434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333333333333333,0.0003333333333333334,0.001,0.0010000000000000002,0.0011266608214881733,2.2120436265012914e-05,0.0013852789368280739,2.3241163648698156e-05,0.05150474370060542,0.0005050486309117064,0.2999999999999999,0.0,0.3027115638508273,0.001412115341754974,3.079085263694482,0.0010995519288883285,,
core_n5000_ess0.3_clear,5000,5000,0.3,clear,relevant,both_correct,1000,0.946,0.007150883521295472,1.0,0.0,1.0,0.0,0.961,0.006125072776426131,1.0,0.0,0.19033333333333335,0.007129098559319453,0.0,0.0,0.571,0.021387295677958364,0.0,0.0,0.07882566692932426,0.0017722994648112509,2.588451000804685,0.0012974976810436125,1.9866666666666668,0.007445348278540537,0.08366666666666665,0.004991361684875884,0.10333333333333333,0.00551940188158679,0.0,0.0,0.31,0.01655820564476037,0.0,0.0,0.156,0.006907366481642023,0.468,0.020722099444926072,0.0039244973731794456,0.00025408757766833115,0.014613352478166197,0.0009292704622780334,0.09724494271748708,0.001939029018347527,0.2999999999999999,0.0,0.30203736129656744,0.0013782626207846109,3.091197105395025,0.0012090344131436492,0.0,0.0
core_n20000_ess0.8_near,20000,20000,0.8,near,relevant,both_correct,1000,0.943,0.007335175853706906,0.992,0.0028185003005044974,1.0,0.0,0.941,0.007454835650406692,1.0,0.0,0.014333333333333332,0.002139371459933246,0.0,0.0,0.043,0.006418114379799739,0.0,0.0,0.01276221337696325,7.110075693047604e-05,2.59825904155036,0.0012441920725777334,5.975,0.00335785110642831,0.0,0.0,0.003,0.000995987947714224,0.0,0.0,0.009,0.0029879638431426726,0.0,0.0,0.0,0.0,0.0,0.0,0.0004556326981055448,7.732936913782313e-06,0.0005210483115772173,8.291208935787397e-06,0.014886877306095402,7.366713883627615e-05,0.8000000000000002,3.512590202971636e-18,0.7961645797570088,0.00045340910583439804,3.12009473069632,0.0010036138594935499,0.0,0.0
core_n20000_ess0.8_clear,20000,20000,0.8,clear,relevant,both_correct,1000,0.952,0.006763264133666652,1.0,0.0,1.0,0.0,0.951,0.006829761756140959,1.0,0.0,0.9816666666666666,0.0024043254315464003,0.0,0.0,2.945,0.0072129762946392005,0.0,0.0,0.0018286235531295156,0.00027653048526509583,2.6155007727992396,0.0011926625172400157,1.0293333333333334,0.0029876846541973365,0.9706666666666667,0.002987684654197337,0.9743333333333334,0.002811526713413553,0.0,0.0,2.923,0.00843458014024066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013853411702399237,0.00021475802628625803,0.002009219805814835,0.00028772518951635624,0.8000000000000002,3.512590202971636e-18,0.7976300700109906,0.00046040188685699695,3.1245471408556655,0.0010709214103394795,0.0,0.0
core_n20000_ess0.5_near,20000,20000,0.5,near,relevant,both_correct,1000,0.967,0.005651808820452346,0.996,0.0019969947390987264,1.0,0.0,0.96,0.006199874066337029,1.0,0.0,0.005666666666666666,0.0013633181632296877,0.0,0.0,0.017,0.004089954489689063,0.0,0.0,0.016963842048673898,0.0001088060694149629,2.590983321332959,0.001309055785327245,5.978666666666667,0.003231752156304308,0.0,0.0,0.0013333333333333333,0.0006656649130329086,0.0,0.0,0.004,0.001996994739098726,0.0,0.0,0.0,0.0,0.0,0.0,0.0006196658874392631,1.4182745579894955e-05,0.0008921298856287729,1.584503177308064e-05,0.019813710505614146,0.00011502001288298849,0.5000000000000001,0.0,0.4996468507457704,0.0006371937376349131,3.1117890288283756,0.0010337633544223017,0.0,0.0
core_n20000_ess0.5_clear,20000,20000,0.5,clear,relevant,both_correct,1000,0.944,0.007274401481697097,1.0,0.0,1.0,0.0,0.952,0.006763264133666652,1.0,0.0,0.7646666666666665,0.005140274547378032,0.0,0.0,2.294,0.015420823642134093,0.0,0.0,0.007961265343205142,0.00045676855473083134,2.601644312210545,0.0011809958276248248,1.327,0.0045316642003649515,0.673,0.0045316642003649515,0.7073333333333333,0.004610462826939363,0.0,0.0,2.122,0.013831388480818088,0.0,0.0,0.012333333333333332,0.001990719207463213,0.037,0.005972157622389639,0.0003222601783518049,5.209405480659126e-05,0.0026943657629087065,0.00037160753489454894,0.010325804585119105,0.00046760996491294795,0.5000000000000001,0.0,0.4987960618536081,0.000641675465131995,3.1117279417580486,0.0010651100480088267,0.0,0.0
