scenario,n_source,n_target,ess_target,separation,shift_relevance,nuisance,reps,simultaneous_pairwise_coverage,simultaneous_pairwise_coverage_mcse,optimal_set_all_budgets_coverage,optimal_set_all_budgets_coverage_mcse,source_specific_contrast_upper_coverage,source_specific_contrast_upper_coverage_mcse,source_specific_bound_all_budgets_coverage,source_specific_bound_all_budgets_coverage_mcse,source_specific_certificate_rate,source_specific_certificate_rate_mcse,source_specific_false_certificate_rate_unconditional,source_specific_false_certificate_rate_unconditional_mcse,source_specific_any_false_certificate,source_specific_any_false_certificate_mcse,num_source_specific_certified,num_source_specific_certified_mcse,num_source_specific_false_certified,num_source_specific_false_certified_mcse,mean_source_specific_portability_bound,mean_source_specific_portability_bound_mcse,source_specific_critical_value,source_specific_critical_value_mcse,mean_confidence_set_size,mean_confidence_set_size_mcse,singleton_rate,singleton_rate_mcse,forced_unsafe_rate,forced_unsafe_rate_mcse,mean_forced_regret,mean_forced_regret_mcse,mean_source_true_regret,mean_source_true_regret_mcse,true_ess_ratio,true_ess_ratio_mcse,estimated_ess_ratio,estimated_ess_ratio_mcse,critical_value,critical_value_mcse,outcome_fit_success,outcome_fit_success_mcse,control_train_events,control_train_events_mcse,treated_train_events,treated_train_events_mcse,control_train_n,control_train_n_mcse,treated_train_n,treated_train_n_mcse,source_train_event_rate,source_train_event_rate_mcse,source_specific_false_certificate_rate_conditional
core_n20000_ess0.8_near,20000,20000,0.8,near,relevant,both_correct,500,0.952,0.009569490597759172,0.994,0.0034571525577583697,0.966,0.008112930375552174,1.0,0.0,0.812,0.010185367231155153,0.0,0.0,0.0,0.0,2.436,0.03055610169346546,0.0,0.0,0.00345343299818517,4.758362929474411e-05,2.5760819565774975,0.002411664113619477,5.982666666666667,0.00403988134510967,0.0,0.0,0.0,0.0,0.0001282955321605964,3.0435329031753182e-06,0.0001380234675487806,2.989605211642365e-06,0.8,0.0,0.7959804761810856,0.0006589372251354878,3.0837893647002566,0.0018146525940332186,1.0,0.0,36.136,0.27494398773711265,245.012,0.7003060539066306,900.022,1.2384371138535617,5099.978,1.2384371138535617,0.046858000000000004,0.0001271149505113747,0.0
core_n20000_ess0.8_clear,20000,20000,0.8,clear,relevant,both_correct,500,0.916,0.012417584015643746,1.0,0.0,0.91,0.012811255071733838,1.0,0.0,0.08066666666666665,0.0073624248375018814,0.0,0.0,0.0,0.0,0.242,0.022087274512505646,0.0,0.0,0.011014419776048836,0.0001414927618930022,2.60353751975037,0.0020155368325374084,5.220666666666666,0.02801117886079112,0.0,0.0,0.036,0.005261710122102917,0.0010635519737492282,4.9935593403398205e-05,0.001565959977349875,6.202360740696485e-05,0.8,0.0,0.7975657153911447,0.0006665127162097254,3.1148533857920566,0.001781005041622352,1.0,0.0,35.876,0.25859425743809533,244.82,0.7099459461768803,898.856,1.273285923146945,5101.144,1.2732859231469453,0.046782666666666674,0.00012491626765809584,0.0
core_n20000_ess0.5_near,20000,20000,0.5,near,relevant,both_correct,500,0.932,0.01126969440686162,0.998,0.002,0.956,0.009181317617116443,1.0,0.0,0.7073333333333333,0.011316345474815014,0.0,0.0,0.0,0.0,2.122,0.03394903642444505,0.0,0.0,0.004387363344665977,7.767011498382283e-05,2.5678951263200687,0.002437929969223389,5.97,0.005123719841093971,0.0,0.0,0.0,0.0,0.00013796362918797403,3.2616525759268303e-06,0.00014599800821503073,3.496311445694061e-06,0.5000000000000001,0.0,0.4983377580488108,0.0009231608629523771,3.0795229209749233,0.0018220014432540899,1.0,0.0,36.092,0.2609506898344017,244.152,0.7187677274976836,899.886,1.3010131738599398,5100.114,1.3010131738599398,0.04670733333333334,0.00012759627588310906,0.0
core_n20000_ess0.5_clear,20000,20000,0.5,clear,relevant,both_correct,500,0.95,0.009756555783754995,1.0,0.0,0.934,0.011114633153652916,1.0,0.0,0.02333333333333333,0.003922541040190595,0.0,0.0,0.0,0.0,0.07,0.011767623120571783,0.0,0.0,0.015295112299487644,0.00024262738302501698,2.589486113954285,0.002334909712447566,5.294,0.025394136503965013,0.0,0.0,0.06333333333333332,0.007278228623123044,0.001399880633215154,5.465127659818648e-05,0.0018117001333229884,6.284232072430666e-05,0.5000000000000001,0.0,0.49853230592905756,0.0009679582910395383,3.091846737492788,0.0019076640460795238,1.0,0.0,36.31,0.27794659310240605,244.952,0.6656256508083414,899.338,1.2530361971718318,5100.662,1.2530361971718318,0.046876999999999995,0.00012138822468044844,0.0
core_n20000_ess0.3_near,20000,20000,0.3,near,relevant,both_correct,500,0.89,0.01400686919941566,0.996,0.002825591608118863,0.944,0.01029271002989587,1.0,0.0,0.6146666666666667,0.013005865110663565,0.0,0.0,0.0,0.0,1.844,0.039017595331990694,0.0,0.0,0.005277953483353213,0.00010672240117483982,2.567175805170099,0.0025369804824603276,5.964666666666667,0.00555861861673357,0.0,0.0,0.0,0.0,0.00014993538175848774,3.355454602059494e-06,0.0001593823686653173,3.7167404753655734e-06,0.2999999999999999,0.0,0.3022130350538683,0.0011638389391800143,3.072337268711341,0.0017587820036750542,1.0,0.0,36.236,0.2792069502037587,245.014,0.701383979695821,899.986,1.2510659214764661,5100.014,1.2510659214764661,0.046875,0.0001257335412782137,0.0
core_n20000_ess0.3_clear,20000,20000,0.3,clear,relevant,both_correct,500,0.958,0.00897960280486092,1.0,0.0,0.942,0.010463793860924815,1.0,0.0,0.017333333333333333,0.0033130982337503407,0.0,0.0,0.0,0.0,0.052,0.00993929470125102,0.0,0.0,0.020887818646148693,0.00041362690599595735,2.5789260681893182,0.002415137068841091,5.436,0.02354251118719777,0.0,0.0,0.11666666666666665,0.009336720446569812,0.0018430580022447008,7.163666983293755e-05,0.0019950787719560715,7.046948692352283e-05,0.2999999999999999,0.0,0.3022121200471437,0.001050976067204112,3.0784237452423375,0.0021494297823882146,1.0,0.0,35.882,0.2744426890612288,244.764,0.718041625221757,899.444,1.1758686415260204,5100.556,1.1758686415260204,0.046774333333333334,0.00012968984033898755,0.0
core_n80000_ess0.8_near,80000,80000,0.8,near,relevant,both_correct,500,0.95,0.009756555783754997,1.0,0.0,0.95,0.009756555783754995,0.998,0.002,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0017544382812326482,1.723510984351451e-05,2.583193551076181,0.0022576921848553866,5.948,0.00777758055544078,0.0,0.0,0.0,0.0,0.00011221079839412739,2.7765704291940154e-06,0.00012588820434050065,2.850053895649345e-06,0.8,0.0,0.7989168921652969,0.00032766027873818733,3.1039682677453837,0.0016812921715999233,1.0,0.0,144.576,0.5719148723739268,979.032,1.400088013265516,3606.68,2.487162067558244,20393.32,2.487162067558245,0.04681699999999999,6.254408198262056e-05,0.0
core_n80000_ess0.8_clear,80000,80000,0.8,clear,relevant,both_correct,500,0.942,0.010463793860924815,1.0,0.0,0.948,0.00993929470125102,0.996,0.0028255916081188636,0.7013333333333333,0.012636993686834873,0.0,0.0,0.0,0.0,2.104,0.03791098106050462,0.0,0.0,0.004210861052951634,7.00603935759939e-05,2.6082049029136223,0.0019169679228011381,4.0986666666666665,0.029166343160721402,0.0,0.0,0.003333333333333333,0.0014847251656906976,0.00033103482322654923,2.1190492816298107e-05,0.0006767653007400977,3.4858605364128946e-05,0.8,0.0,0.7992625684414295,0.00034489087365754376,3.121981111857005,0.0018052438496891734,1.0,0.0,143.976,0.5378414216008089,979.042,1.459914783248905,3605.38,2.6502556310325307,20394.62,2.6502556310325307,0.04679241666666667,6.361321220977922e-05,0.0
core_n80000_ess0.5_near,80000,80000,0.5,near,relevant,both_correct,500,0.928,0.011571508095282932,0.998,0.002,0.954,0.009377840251121315,0.998,0.002,0.9726666666666667,0.0040940839080424556,0.0,0.0,0.0,0.0,2.918,0.012282251724127365,0.0,0.0,0.0023524351975140368,2.9200208547449893e-05,2.5793712915110865,0.00236794355056289,5.936,0.008586806406709679,0.0,0.0,0.0,0.0,0.00012679643383091245,2.9904010715009996e-06,0.00013283213443159774,3.189125566862874e-06,0.5000000000000001,0.0,0.4994847266194919,0.0004500141601868851,3.093223398731748,0.001812075366276506,1.0,0.0,143.96,0.560865349152325,978.06,1.322610826659753,3599.034,2.3981793545172687,20400.966,2.3981793545172687,0.04675083333333333,5.933612959042547e-05,0.0
core_n80000_ess0.5_clear,80000,80000,0.5,clear,relevant,both_correct,500,0.918,0.012282251724127365,1.0,0.0,0.91,0.012811255071733842,0.998,0.002,0.4566666666666666,0.01481046288042937,0.0,0.0,0.0,0.0,1.37,0.044431388641288115,0.0,0.0,0.005933601732180278,9.993553715733936e-05,2.598184079458239,0.002020453121462001,4.31,0.03178466571152245,0.0,0.0,0.02,0.003902622313501997,0.0006310768091714536,3.42243607756879e-05,0.0006547804795618097,3.141729961045085e-05,0.5000000000000001,0.0,0.49943969489632584,0.00046800572717808247,3.101177649974898,0.0018708813026303156,1.0,0.0,144.122,0.5376917861692028,977.508,1.3349156796380388,3602.552,2.4396816770576324,20397.448,2.4396816770576324,0.046734583333333336,5.855386729019839e-05,0.0
