artifact,sha256,status
CRITEO-UPLIFT v2.1 raw data,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,verified
R1 source artifact,1c7fe26cebf45f9215c7ec8de54f06ec2e72eb8e72744b3fb2a8d392ae0f3e0e,verified
R1F winner artifact,3e547e2a75829cc257c7f38aae200c2acedc9caeba441f6841c64db21af0cdfe,verified
R1F selection artifact,6cff4bc7cafd03cc95fc4fd7be11816830044f3f055b0881298fedb78aefd83d,verified
R2 pairwise contrasts,5949d500efbc74a0fe033f81eb47ed6374f158c378b64d453ffa240c398b7a23,verified
R2 source-specific bounds,674ffed3be874de1fb6c76f376d6d726288dc9eaefdeb4e99d656888dcd3cbba,verified
R2 decision rules,fcd9a4fd92540119948868ffe840121d5b44362700e9213a7839b4178d10e224,verified
R2 ratio audit,2b01c556a943ce9fecdde1a7543b60c1aa78840f61fd6196cb04b0587e38138a,verified
R2 summary,52bae0852cea4f69de511cba45c9c10316f08712b98095f72f2c33bd2d08efa7,verified
P1-C rare-binary simulation source,25523ca9b8118d36d00c26a7c4cb0ec08112817301e3a304b39293685fe2e965,verified-by-diagnostic-source-contract
